mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample_for_bin,param_subsample,param_num_leaves,param_n_estimators,param_min_child_weight,param_min_child_samples,param_max_depth,param_learning_rate,param_lambda_l2,param_lambda_l1,param_colsample_bytree,param_boosting_type,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
15.09621556599935,1.5601613294859702,0.01504373550415039,0.003215317183034543,10000,0.3,15,2000,12,10,4,0.03,12,4,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.03, 'lambda_l2': 12, 'lambda_l1': 4, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.521082988351331,-3.9649910272475832,-4.215356541175463,-4.23381018559146,0.2273982850202512,44,-3.704532047682634,-3.8711253545695685,-3.6393137150494135,-3.7383237057672054,0.0976065782323234
13.387997468312582,1.8728753494029868,0.0151823361714681,0.008365177271309374,10000,0.6,45,1800,14,10,6,0.01,15,4,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.261769518150568,-3.995189414976274,-4.206222496766866,-4.15439380996457,0.11483581739115549,34,-4.004204521019605,-4.04115518778957,-4.0023973631160334,-4.01591902397507,0.017859907203498202
10.29891324043274,0.5974452435479846,0.007391691207885742,0.0007414903159841137,5000,0.6,15,1600,14,10,5,0.01,12,5,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.01, 'lambda_l2': 12, 'lambda_l1': 5, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.196147697876273,-3.9752842181892625,-4.1735200048363525,-4.114983973633962,0.09921363944054938,24,-4.037683075153945,-4.035810920270258,-3.99069661493104,-4.021396870118415,0.02172180920034897
10.552986780802408,0.6207895640767318,0.014707565307617188,0.009362774991414297,20000,0.6,30,1600,14,15,6,0.02,14,5,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.009557958668691,-3.7971396117036873,-4.147520111696033,-3.984739227356137,0.14411477084068583,14,-3.587169979459917,-3.865546021348791,-3.688077882207454,-3.7135979610053873,0.11507030022503217
24.023181517918903,6.767744553504138,0.03760170936584473,0.025134171041308113,10000,0.6,45,2000,16,20,4,0.02,14,5,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 2000, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.1800131163123,-4.009603855360661,-4.240373713573986,-4.476663561748983,0.5061877970300895,49,-5.1314452904840335,-4.037593128756449,-3.9933998304996976,-4.38747941658006,0.5263726044371863
12.685097932815552,0.8162633589383658,0.0191037654876709,0.009599625912132375,20000,0.6,15,1800,12,10,5,0.01,15,2,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-3.999401869155535,-3.7704570218802593,-3.879804713562864,-3.8832212015328857,0.09349755813571385,3,-3.638073243225997,-3.7818194395530433,-3.7445403901964993,-3.7214776909918466,0.06090789938137009
11.233580827713013,1.016890657965835,0.007536570231119792,0.0007374452849850828,10000,0.4,45,1600,12,20,6,0.02,12,4,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 12, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.1972878005186605,-3.761520764469932,-4.111428724159785,-4.023412429716125,0.18847347911110826,18,-3.6732531169984,-3.8518736292401248,-3.8853472510691867,-3.803491332435904,0.09310071754055024
16.067383686701458,2.734607701536255,0.0191802978515625,0.0064784410123523255,5000,0.5,30,2000,12,20,4,0.03,14,5,0.7,goss,"{'subsample_for_bin': 5000, 'subsample': 0.5, 'num_leaves': 30, 'n_estimators': 2000, 'min_child_weight': 12, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.300328239391405,-3.9345608688606193,-4.083267922029722,-4.1060523434272485,0.15019052284807297,23,-3.5447008119379904,-3.874530991961977,-3.688077882207454,-3.702436562035807,0.13503484902911478
13.319866498311361,1.322435864910351,0.015871524810791016,0.010057518137058033,5000,0.3,15,1600,12,10,6,0.03,15,2,0.7,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.03, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.428593477774581,-3.8835204092718207,-4.041253613574725,-4.117789166873709,0.22901154365495777,25,-3.704207586806367,-3.845954615758592,-3.667865511448306,-3.7393425713377546,0.07683220948719208
11.707411209742228,0.9265425103273665,0.014651219050089518,0.005467718808439141,10000,0.5,45,1600,14,20,4,0.01,12,2,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.1715601248930945,-4.01679167802058,-4.24886862769192,-4.145740143535198,0.09648810365421569,33,-3.9816284840019147,-4.060690659616111,-3.9897951360712427,-4.010704759896423,0.035502264524913694
14.3470086256663,1.152918011676348,0.01845828692118327,0.007070818197767071,5000,0.3,15,1800,14,10,4,0.01,15,2,0.7,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.231348038166525,-4.009603855360661,-4.233565509482158,-4.1581724676697815,0.10505777368461675,36,-3.973469710273571,-4.048269903135547,-3.9816726417899924,-4.001137418399703,0.03349552566534491
12.172076940536499,0.31718794045857207,0.019743601481119793,0.0078058434229951144,5000,0.5,30,1600,14,20,6,0.02,15,4,0.8,goss,"{'subsample_for_bin': 5000, 'subsample': 0.5, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-3.9976069396601686,-3.7857272444314805,-3.848076442547927,-3.8771368755465248,0.0889068159633068,2,-3.640054944640259,-3.8608904180439887,-3.691977172687432,-3.730974178457226,0.09427849320893
11.790551980336508,1.5426122239630806,0.02409990628560384,0.02093904730669303,20000,0.3,45,1800,16,15,5,0.03,14,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.3, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 15, 'max_depth': 5, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.1800131163123,-4.03649219381993,-4.236970979004114,-4.484492096378781,0.4985713273640013,52,-5.1314452904840335,-4.035810920270258,-3.9961012174428165,-4.387785809399037,0.5260964949388193
12.013056437174479,1.068076392105253,0.015699307123819988,0.007115632391297479,10000,0.6,45,1800,12,20,4,0.01,15,4,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.181870188983867,-4.02217411549831,-4.2182068738706056,-4.140750392784262,0.0851482582260124,31,-3.979816868612463,-4.039374550916259,-3.925566448609174,-3.9815859560459654,0.046478800116795164
11.919685045878092,2.9554719963216267,0.010620435078938803,0.006647656029076012,10000,0.3,15,1800,16,20,5,0.03,14,5,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-4.009603855360661,-4.245472701777561,-4.478363224483508,0.5053994830527809,50,-5.1314452904840335,-4.005392049178944,-3.974438711257775,-4.370425350306918,0.5382707121220086
14.448853651682535,1.4300284973773092,0.014200131098429361,0.007282367031795088,10000,0.3,30,1600,14,20,4,0.01,14,4,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.27689911369302,-3.9807227793648035,-4.2182068738706056,-4.158609588976144,0.12804682093963035,37,-4.00780488547035,-4.045603351148027,-3.986187181932188,-4.013198472850188,0.024554543092053436
13.007701953252157,1.0008566184827556,0.016117970148722332,0.006668708210527985,5000,0.3,30,1600,14,20,5,0.02,12,2,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.231348038166525,-3.7106914139053346,-4.063202601965029,-4.001747351345629,0.21695374463739875,15,-3.6990123421924817,-3.820618052378211,-3.6802669072219865,-3.7332991005975598,0.062216275138220124
14.270108540852865,0.043740375880897825,0.02144138018290202,0.007880159635235008,20000,0.4,15,2000,16,15,5,0.03,14,4,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.4, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_weight': 16, 'min_child_samples': 15, 'max_depth': 5, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.1062445152643745,-4.02217411549831,-4.233565509482158,-4.120661380081614,0.08690019123867546,26,-3.6208530656568936,-3.999100618313533,-3.8456428363721,-3.821865506780842,0.15533152464873917
15.024047374725342,0.7913483820190387,0.021469593048095703,0.0050654428186036465,20000,0.6,45,1800,12,15,4,0.02,15,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 15, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.055830465582879,-3.753844183479937,-3.9909753964895116,-3.933550015184109,0.12980031961476465,6,-3.5760958514085632,-3.8456428363721,-3.7630667630045758,-3.72826848359508,0.11275958041523354
15.902884085973104,0.7589481487522786,0.010051409403483072,0.0001242790369734742,5000,0.4,15,2000,14,10,6,0.01,14,2,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.4, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.01, 'lambda_l2': 14, 'lambda_l1': 2, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.244895611906241,-4.00780488547035,-4.223332625017648,-4.158677707464746,0.10704577498529645,38,-3.971654373373703,-4.030459566420033,-4.005092681335992,-4.002402207043243,0.024082381820797197
16.507424751917522,1.5684444194098457,0.018642425537109375,0.005738121111985984,5000,0.3,30,2000,12,15,4,0.03,14,5,0.6,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 2000, 'min_child_weight': 12, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.03, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.323077054056636,-3.853070703497906,-4.026355481268197,-4.06750107960758,0.19407251666737588,21,-3.497595327782086,-3.8375276813380736,-3.6900280425000096,-3.6750503505400567,0.1391803379094037
11.713315884272257,0.6480581692882584,0.023037433624267578,0.0019064421585884624,20000,0.6,15,1600,14,15,4,0.001,14,4,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
11.11652954419454,1.3875260640544806,0.020320892333984375,0.008752601731594792,10000,0.5,15,1600,16,20,5,0.001,14,4,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.024818785563435,-5.1201900505592715,-5.142675897294655,-5.09589491113912,0.05108988840589186,58,-4.928088644931997,-5.161423037281886,-5.150260173633475,-5.0799239519491195,0.1074604507836753
15.220014095306396,0.5221465732423686,0.023275295893351238,0.00935693572643064,10000,0.3,15,2000,16,20,5,0.02,14,2,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'lambda_l2': 14, 'lambda_l1': 2, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.1989973740606725,-4.02933951449576,-4.242074057308796,-4.156803648621743,0.09183038450055503,35,-3.6996621467371855,-4.020630252323544,-3.992498962007466,-3.9042637870227317,0.14513032253659452
12.5407768090566,0.716064744635954,0.020845651626586914,0.009120822527486973,20000,0.4,45,1600,12,10,6,0.01,15,2,0.6,goss,"{'subsample_for_bin': 20000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 2, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.174999641864581,-4.00780488547035,-4.107333965931223,-4.096712831088717,0.06866890621156262,22,-3.9752842181892625,-4.052710257550455,-3.821559439124634,-3.949851304954784,0.09606525567351284
12.113726298014322,1.4504444944115975,0.020854632059733074,0.011126025639592675,10000,0.3,15,1600,14,10,5,0.001,15,4,0.7,goss,"{'subsample_for_bin': 10000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.001, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
10.557308594385782,1.2905966130395758,0.006928841272989909,0.003575364283822594,20000,0.3,15,1800,16,20,6,0.001,15,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.001, 'lambda_l2': 15, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-5.1800131163123,-5.1201900505592715,-5.142675897294655,-5.1476263547220755,0.024672252573533157,60,-5.1314452904840335,-5.161423037281886,-5.150260173633475,-5.147709500466465,0.012370550404696883
11.065868695576986,0.8524832112050074,0.021806081136067707,0.010955453837315733,10000,0.4,45,1600,16,10,6,0.03,12,2,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 45, 'n_estimators': 1600, 'min_child_weight': 16, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.03, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.2757802388239865,-3.924160860813234,-4.228452162707732,-4.142797754114984,0.15580234279731292,32,-3.7233024009917286,-3.8979795541173052,-3.7381306963665013,-3.786470883825178,0.07908058020639061
11.77584950129191,1.9420422017333052,0.008524576822916666,3.867299933689254e-05,5000,0.3,30,1600,14,15,4,0.02,12,5,0.8,goss,"{'subsample_for_bin': 5000, 'subsample': 0.3, 'num_leaves': 30, 'n_estimators': 1600, 'min_child_weight': 14, 'min_child_samples': 15, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-3.9061967699722486,-3.8085177815401745,-3.810410839952927,-3.8417084638217833,0.045606667203788157,1,-3.6755428693752688,-3.868336693848975,-3.707533325179175,-3.7504709628011397,0.08436071452287856
13.312111695607504,0.6232537565333554,0.018090248107910156,0.009464198875616982,10000,0.4,30,1800,16,10,4,0.02,12,2,0.8,goss,"{'subsample_for_bin': 10000, 'subsample': 0.4, 'num_leaves': 30, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 2, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.216622381269171,-4.0239666614309435,-4.259040159111332,-4.166543067270482,0.10229317538610072,41,-3.753844183479937,-4.04115518778957,-4.00059947546234,-3.931866282243949,0.12696480401237195
15.138306776682535,0.7851439095596909,0.024363358815511067,0.006580063773034283,10000,0.5,45,1800,12,20,5,0.02,12,4,0.6,goss,"{'subsample_for_bin': 10000, 'subsample': 0.5, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 4, 'colsample_bytree': 0.6, 'boosting_type': 'goss'}",-4.235868710436788,-3.7022602244076213,-4.1201895027366815,-4.0194394791936965,0.22919777416533918,17,-3.6732531169984,-3.7944804037934077,-3.8083588489403355,-3.7586974565773814,0.060683354029971166
12.448084433873495,1.6215453356025138,0.02535899480183919,0.007144739043225094,20000,0.6,45,1800,12,10,4,0.001,14,5,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 45, 'n_estimators': 1800, 'min_child_weight': 12, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.001, 'lambda_l2': 14, 'lambda_l1': 5, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.652518996667727,-5.1201900505592715,-5.142675897294655,-4.971794981507218,0.22594876882053297,54,-4.502670147983134,-5.161423037281886,-5.150260173633475,-4.9381177862994985,0.3079417008327849
13.218008518218994,1.1079927265738692,0.021836042404174805,0.009125993412825554,20000,0.3,15,1800,16,20,4,0.01,15,4,0.8,goss,"{'subsample_for_bin': 20000, 'subsample': 0.3, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 16, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.01, 'lambda_l2': 15, 'lambda_l1': 4, 'colsample_bytree': 0.8, 'boosting_type': 'goss'}",-4.223425218251494,-3.9752842181892625,-4.1890424828446085,-4.129250639761788,0.1097718462764217,27,-4.079144895308707,-4.038483938062106,-3.986187181932188,-4.034605338434333,0.03804879998416206
16.031239986419678,2.5729110317732746,0.011462529500325521,0.002990299782674727,20000,0.6,15,1800,14,10,6,0.02,12,5,0.7,goss,"{'subsample_for_bin': 20000, 'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 1800, 'min_child_weight': 14, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.02, 'lambda_l2': 12, 'lambda_l1': 5, 'colsample_bytree': 0.7, 'boosting_type': 'goss'}",-4.051108891845357,-3.7223338419289087,-3.924160860813234,-3.899201198195833,0.13537724311560295,4,-3.635429294298839,-3.836590212732089,-3.734600675605762,-3.735540060878897,0.08212628734554978
